DATE,buy/sell,STA,LTA,balance,amount of stock
05-26-21,BUY,933.8211944580078,1065.9415515136718,450.0849609375,122.0
11-04-21,BUY,578.8639862060547,639.2764916992187,23.950286865234375,123.0
03-07-22,SELL,414.78353118896484,413.86240142822265,63997.20071411133,123.0
04-05-22,BUY,382.8141174316406,383.72407104492186,192.36672973632812,160.0
04-18-22,SELL,393.0069244384766,390.49849578857425,74998.54348754883,160.0
06-10-22,BUY,431.47069549560547,434.08519165039064,175.61526489257812,156.0
06-13-22,SELL,436.66246795654297,435.72273986816407,87989.14260864258,156.0
08-03-22,BUY,459.3229690551758,465.33351745605466,273.8616027832031,264.0
09-22-22,SELL,464.97996978759767,461.31315368652344,148733.9973449707,264.0
11-17-22,BUY,481.5415313720703,490.5229223632812,213.58065795898438,454.0
02-01-23,BUY,264.24790115356444,422.02741104125977,24.236175537109375,455.0
10-03-23,SELL,105.91856727600097,105.74779342651367,51719.44899749756,455.0
11-24-23,BUY,99.45495719909668,99.51360145568847,64.94367218017578,639.0
12-14-23,BUY,78.38526248931885,97.72522701263428,4.799793243408203,640.0
06-27-24,FINAL SELL,23.48884696960449,32.929314613342285,14916.799304962158,640.0
